date,location,lat,lon,rainfall_mm,humidity_pct,solar_radiation_wm2,temp_c,temp_max_c,temp_min_c,wind_speed_10m_mps,cloud_cover_pct
2023-04-19,pit_entrance,-0.456,117.11,25.26,93.39,18.36,26.14,28.47,23.66,0.78,84.16
2023-04-20,pit_entrance,-0.456,117.11,10.59,92.68,14.78,26.57,29.14,24.2,0.7,97.81
2023-04-21,pit_entrance,-0.456,117.11,0.56,90.51,21.54,26.94,29.62,24.47,0.69,78.8
2023-04-22,pit_entrance,-0.456,117.11,0.17,90.94,18.13,26.6,29.49,24.28,0.68,92.47
2023-04-23,pit_entrance,-0.456,117.11,0.05,89.67,20.94,26.92,30.22,24.13,0.7,76.03
2023-04-24,pit_entrance,-0.456,117.11,5.87,90.85,18.62,27.0,30.21,24.09,0.73,79.21
2023-04-25,pit_entrance,-0.456,117.11,38.57,93.87,9.55,26.16,28.07,24.84,0.64,97.7
2023-04-26,pit_entrance,-0.456,117.11,0.97,87.73,22.89,26.65,30.42,23.72,0.66,59.23
2023-04-27,pit_entrance,-0.456,117.11,21.71,92.16,19.66,26.6,29.4,23.82,0.73,87.69
2023-04-28,pit_entrance,-0.456,117.11,8.34,92.83,21.83,26.59,29.36,24.16,0.7,73.56
2023-04-29,pit_entrance,-0.456,117.11,21.22,93.26,17.99,26.26,28.55,24.37,0.6,96.46
2023-04-30,pit_entrance,-0.456,117.11,13.6,94.75,4.63,25.94,27.97,24.03,0.64,99.57
2023-05-01,pit_entrance,-0.456,117.11,3.53,90.81,21.37,26.8,29.93,24.32,0.61,75.85
2023-05-02,pit_entrance,-0.456,117.11,2.29,90.44,14.86,27.03,29.63,24.38,0.61,96.9
2023-05-03,pit_entrance,-0.456,117.11,0.64,90.11,22.04,27.33,30.87,24.13,0.64,52.71
2023-05-04,pit_entrance,-0.456,117.11,0.04,89.88,20.9,27.63,30.73,24.71,0.47,49.86
2023-05-05,pit_entrance,-0.456,117.11,0.6,91.19,14.87,27.27,29.43,25.55,0.72,80.7
2023-05-06,pit_entrance,-0.456,117.11,11.94,92.19,14.4,27.02,29.69,24.52,0.57,94.46
2023-05-07,pit_entrance,-0.456,117.11,12.28,96.4,18.64,26.65,28.62,25.17,0.63,79.78
2023-05-08,pit_entrance,-0.456,117.11,3.16,93.37,12.76,26.41,28.97,24.61,0.71,99.34
2023-05-09,pit_entrance,-0.456,117.11,9.0,93.54,14.32,26.47,28.65,24.91,0.63,93.4
2023-05-10,pit_entrance,-0.456,117.11,12.62,93.5,17.23,25.99,27.65,24.35,0.45,85.62
2023-05-11,pit_entrance,-0.456,117.11,2.85,90.82,21.79,26.84,30.54,23.59,0.58,47.5
2023-05-12,pit_entrance,-0.456,117.11,3.29,92.16,20.16,27.22,30.48,24.47,0.58,71.04
2023-05-13,pit_entrance,-0.456,117.11,6.95,92.18,19.89,27.42,30.36,24.96,0.67,43.92
2023-05-14,pit_entrance,-0.456,117.11,14.46,95.17,10.97,26.58,28.94,24.81,0.73,85.39
2023-05-15,pit_entrance,-0.456,117.11,4.64,93.5,14.93,26.59,29.49,24.36,0.54,88.54
2023-05-16,pit_entrance,-0.456,117.11,9.75,96.21,10.64,26.02,27.99,24.67,0.66,97.48
2023-05-17,pit_entrance,-0.456,117.11,9.75,94.4,8.26,25.97,28.49,24.17,0.62,98.81
2023-05-18,pit_entrance,-0.456,117.11,11.24,92.75,17.77,26.34,29.53,23.25,0.61,82.26
2023-05-19,pit_entrance,-0.456,117.11,7.2,95.29,7.34,25.99,28.08,24.33,0.68,99.24
2023-05-20,pit_entrance,-0.456,117.11,0.06,91.03,20.83,26.26,29.57,23.59,0.69,66.89
2023-05-21,pit_entrance,-0.456,117.11,5.69,92.6,19.83,26.52,29.75,23.91,0.62,72.45
2023-05-22,pit_entrance,-0.456,117.11,9.62,92.4,19.84,26.72,29.79,24.44,0.68,69.68
2023-05-23,pit_entrance,-0.456,117.11,6.47,94.38,18.36,26.25,28.32,24.41,0.64,68.04
2023-05-24,pit_entrance,-0.456,117.11,5.56,96.58,9.22,25.75,27.66,24.36,0.69,97.54
2023-05-25,pit_entrance,-0.456,117.11,15.01,92.73,19.77,26.36,29.34,23.57,0.7,68.91
2023-05-26,pit_entrance,-0.456,117.11,12.46,94.19,7.43,25.98,28.03,24.23,0.73,98.36
2023-05-27,pit_entrance,-0.456,117.11,6.76,92.94,19.57,26.56,29.42,23.94,0.68,68.55
2023-05-28,pit_entrance,-0.456,117.11,6.12,95.32,13.69,26.31,28.57,24.77,0.67,84.15
2023-05-29,pit_entrance,-0.456,117.11,1.15,91.51,18.73,26.79,30.13,24.29,0.73,71.52
2023-05-30,pit_entrance,-0.456,117.11,1.05,91.53,19.04,26.84,29.8,24.44,0.77,61.01
2023-05-31,pit_entrance,-0.456,117.11,3.5,93.41,19.7,26.53,29.14,24.66,0.7,56.99
2023-06-01,pit_entrance,-0.456,117.11,2.21,94.93,15.51,26.38,28.77,24.4,0.69,99.07
2023-06-02,pit_entrance,-0.456,117.11,1.51,94.29,19.8,26.5,28.96,24.44,0.75,63.13
